text,sentiment
ባለውለታህን በእርግጫ ከመግፋት በብልሀት ሥርዓት አስይዘው፣,Positive
የታመነ ሰው እጅግ ይባረካል፤,Positive
ትንሽ ሰው ትንሽ ነው አንሶ ያሳንሳል,Negative
ሆዳሞች የሚወረወርላቸውን ፍርፋሪ ካገኙ ይጮሃሉ,Negative
የአንዳንድ ዘረኞች አስተሳሰብ እጅግ አድርጎ ይደንቀኛል,Neutral
አሽቃባጭ ነህ መብቱ ነው መናገር አንተ ቀላዋጭ,Negative
"ምን አይነት ፈረስ ነህ,",Negative
በሀገራችን ጉዳይ ሁላችንም ሚና አለን,Positive
ድምጽሽ በጣም ያምራል አንደኛ መሆን ይገባሻል,Positive
ምርጥ ድምፅ ነው በርችልኝ የኔ ፍልቅልቅ,Positive
ሰላም ፍቅር አንድነት ብልፅግና ለውቢቷ ሀገራችን,Positive
ዋዉ በጣም ቆጆ ድምፅ ከሚያምር ሥብዕናጋር,Positive
ኢትዬጵያ ውስጥ ብዙ ውድድር አይቻለው እንዳንቺ ያስደሰተኝ የለም አንደኛ ነሽ ከፀባይ ጋር,Positive
የነገ የከፍተኛ ጀነራል ማዕረግ ተሿሚዎች እንደምትሆኑ ኢትዮጵያ እናንተን ተስፋ ታደርጋለች,Positive
አባቴ በሁሉም ነገር ጠላትን የቀደመ የዘመናችን ጀግናነው,Positive
እሄን ቆሻሻ እስርልን,Negative
ሸንበቆ ቢረዝም ቅል አያንጠለጥልም,Negative
በመከላከያ ሰራዊታቸን እኮራለሁ,Positive
"""መንገዱም አስተሳሰቡም አካኼዱ ሁሉ አዲስ ነው”",Positive
"ለጊዜው ይከብዳል""",Neutral
ደንቆሮ እናት ለልጇ ድንቁርና ታወርሳለች::,Negative
ኢትዮጵያን ለማቆም በዱር በገደሉ በፀሀይ በንፉሱ ነብሳቹን ስጥታችሁ አንድ ሀገራችን ስለምትጠብቁልን የመከላከያ ሰራዊት ሀገር እናመሰግናለን::,Positive
ክብር ላባታችን::,Positive
ተስፋ ሳናቆርጥ ጠንክረን ከሰራን ስኬታማነት አይቀሬ ነዉ,Positive
እምቅ የተፈጥሮ ሐብት፣ ምቹ አየር ንብረት፣ ለም መሬት፣ ሰፊ የውሃ ሃብት፣ የሰው ኃይል አለን። እነዚህን በበቂ ጥቅም ላይ ያልዋሉ ሐብቶችን በማገናኘት ምርታማነትን መጨመር አለብን።,Neutral
አሁን እየታየ ያለውን የዋጋ ንረት በራሳችን ጥረት ወደ ተረጋጋ ሁኔታ መመለስ ከእያንዳንዱ ሰው የሚጠበቅ ሀላፊነት ነው::,Positive
ውሸታም!,Negative
